店舗名,URL,住所
シルクハット 蒲田西口,https://matahari-entertainment.co.jp/,東京都大田区西蒲田7-2-3 第二醍醐ビル
シルクハット 秋葉原,https://matahari-entertainment.co.jp/,東京都千代田区外神田1-11-1
シルクハット 八王子,https://matahari-entertainment.co.jp/,東京都八王子市旭町2-5 八王子ツインタワー
スタジオプリモ 新宿店,-,東京都新宿区新宿3-23-14 SHAビル
ピーターパンと仲間たち 昭島店,https://amuseum.jp/store/pn_akishima/,東京都昭島市田中町562-1
東京レジャーランド 秋葉原1号店,https://www.yamazakiya.co.jp/,東京都千代田区外神田1-9-5
東京レジャーランド 秋葉原2号店,https://www.yamazakiya.co.jp/,東京都千代田区外神田4-3-3
Hapipi Land 徳島店,https://www.hapipiland.com/,徳島県徳島市沖浜東3-15
宝島 徳島店,-,徳島県徳島市(詳細不明)
WonderGOO PLUS＋ 足利店,https://www.wonder.co.jp/amusement/,栃木県足利市朝倉町255-1
WonderGOO 大田原店,https://www.wonder.co.jp/amusement/,栃木県大田原市浅香1-5-39
アピナ 小山店,https://www.kyowa-corp.co.jp/,栃木県小山市雨ヶ谷町50
おたちゅう 小山店,https://otachu-oyama.com/,栃木県小山市喜沢1475
おたちゅう 那須塩原店,https://otachu-nasu.com/,栃木県那須塩原市睦105-116
ぐるぐる大帝国 宇都宮店,https://www.otakara.co.jp/,栃木県宇都宮市簗瀬町1865-1
テクモピア パルテロン宇都宮店,http://www.wave.koeitecmo.co.jp/Amusement_park/,栃木県宇都宮市江曽島本町22-7 アピタ宇都宮店 2F
テクモピア 鹿沼店,http://www.wave.koeitecmo.co.jp/Amusement_park/,栃木県鹿沼市睦町287-1
フェドラP&D SANO,-,栃木県佐野市高萩町1340 フェドラP&D SANO
万代書店 宇都宮店,-,栃木県宇平宮市簗瀬町1865-1
回遊館 橿原店,-,奈良県橿原市新賀町185
TORUFULL（トルフル）大和八木駅,https://kintetsu-rs.com/,奈良県橿原市内膳町5丁目 大和八木駅高架下
アミパラ 橿原店,https://amipara.co.jp/,奈良県橿原市十市町1222-1
クレーンゲーム専門店（奈良観光会館1F）,-,奈良県奈良市角振町28 奈良観光会館1F
ソユーゲームフィールド 奈良橿原店,https://soyu-am.jp/,奈良県橿原市曲川町7-20-1 イオンモール橿原 3F
開放倉庫 香芝店,-,奈良県香芝市上中103
アピナ 富山南店,https://www.kyowa-corp.co.jp/,富山県富山市婦中町下轡田165-1 ファボーレ 2階
お宝中古市場 富山店,https://www.otachu.com/,富山県富山市掛尾町474
トレジャーランド 高岡店,https://www.yamazakiya.co.jp/,富山県高岡市下伏間江383 イオンモール高岡
富山レジャーランド 呉羽店,https://www.yamazakiya.co.jp/,富山県富山市呉羽本町2144
アピナ 武生店,https://www.kyowa-corp.co.jp/,福井県越前市芝原4-110
テクモピア 福井開発店,http://www.wave.koeitecmo.co.jp/Amusement_park/,福井県福井市大和田2-1212 エルパ 2F
トレルン遊 丸岡店,https://torerunyuu-maruoka.com/,福井県坂井市丸岡町一本田2-1
福井レジャーランド ワイワイプラザ店,https://www.yamazakiya.co.jp/,福井県福井市大町1-201 ワイワイプラザ 2F
浪漫遊 福井店,https://www.romanyu.com/,福井県福井市羽水2-111
G-pala 小倉,https://www.g-pala.com/,福岡県北九州市小倉北区浅野2-14-5 あるあるCity
G-pala 博多,https://www.g-pala.com/,福岡県福岡市博多区住吉1-2-22 キャナルシティ博多
アミパラ 筑紫野店,https://amipara.co.jp/,福岡県筑紫野市塔原東5-11-1
トレトレ倉庫 春日白水店,https://mangasouko-kagoshima.com/,福岡県春日市白水ヶ丘4-118
ピーターパンと仲間たち うきは店,https://amuseum.jp/store/pn_ukiha/,福岡県うきは市浮羽町朝田587-1
ピーターパンと仲間たち 遠賀店,https://amuseum.jp/store/pn_onga/,福岡県遠賀郡遠賀町今古賀498-1
マンガ倉庫 箱崎店,-,福岡県福岡市東区箱崎7-9-65
マンガ倉庫 飯塚店,-,福岡県飯塚市枝国692-2
マンガ倉庫 福岡空港店,-,福岡県糟屋郡志免町別府北2-14-1
楽市街道 くるめ店,https://rakuichi-rakuza.jp/,福岡県久留米市新合川2-7-10
楽市街道 箱崎店,https://rakuichi-rakuza.jp/,福岡県福岡市東区箱崎5-1-8
楽市楽座 イオンモール福岡店,https://rakuichi-rakuza.jp/,福岡県糟屋郡粕屋町酒殿字老ノ木192-1 イオンモール福岡 2F
万代 トリアス久山店,https://mandai-s.jp/,福岡県糟屋郡久山町山田1111 トリアス久山
サープラ福島あそびタウン,https://3rd-planet.jp/,福島県福島市笹谷字御代内68-1
Hapipi Land ドン・キホーテいわき店,https://www.hapipiland.com/,福島県いわき市中央台飯野4-1 MEGAドン・キホーテいわき店
Hapipi Land ドン・キホーテ福島店,https://www.hapipiland.com/,福島県福島市鎌田字下釜8-1 MEGAドン・キホーテ福島店
iクレーン 会津若松店,https://icrane-aiduwakamatsu.com/,福島県会津若松市町北町大字上荒久田字宮下142
WonderGOO いわき鹿島店,https://www.wonder.co.jp/amusement/,福島県いわき市鹿島町御代字大塚1-1
万代 いわき小名浜店,https://mandai-s.jp/,福島県いわき市小名浜字丹波沼58
万代 郡山アティ店,https://mandai-s.jp/,福島県郡山市駅前1-16-7 アティ郡山
万代アミューズ いわき店,https://mandai-s.jp/,福島県いわき市平字正内町80
万代書店 福島店,-,福島県福島市吉倉字谷地82
回遊館 洲本店,-,兵庫県洲本市下加茂1-1-57
回遊館 養父店,-,兵庫県養父市八鹿町朝倉45-1
ACE GAME FIELD 三宮店,https://acegamefield.com/,兵庫県神戸市中央区三宮町1-5-26
ACE GAME FIELD 神戸ハーバーセンター店,https://acegamefield.com/,兵庫県神戸市中央区東川崎町1-3-3 神戸ハーバーセンター
ACE GAME FIELD 神戸ハーバーランド店,https://acegamefield.com/,兵庫県神戸市中央区東川崎町1-6-1
ACE GAME FIELD 宝塚店,https://acegamefield.com/,兵庫県宝塚市栄町2-1-1
OTAKARA amuse 舞多聞店,https://otakarahakken-maitamon.com/,兵庫県神戸市垂水区舞多聞東2-1-45
お宝市番館 OTAICHI!! POP!! WORLD!! 東加古川店,https://otaichi-pop-world.com/,兵庫県加古川市平岡町新在家115
お宝市番館 加古川店,https://otaichi.com/,兵庫県加古川市尾上町今福71-2
お宝市番館 飾磨店,https://otaichi.com/,兵庫県姫路市飾磨区構4-135
お宝市番館 姫路東店,https://otaichi.com/,兵庫県姫路市四郷町見野425-1
テクモピア 伊丹店,http://www.wave.koeitecmo.co.jp/Amusement_park/,兵庫県伊丹市藤ノ木1-1-1 イオンモール伊丹 3F
遊スペースマジカル,-,兵庫県神戸市中央区三宮町1-9-1 センタープラザ3F(付近)
遊びトレジャー店（ACE GAME FIELD系列）,https://acegamefield.com/,兵庫県内(詳細不明)
MEGAGET 釧路店,https://www.8-grp.com/,北海道釧路市星が浦大通2-6-1
MEGAGET 室蘭店,https://www.8-grp.com/,北海道室蘭市中島本町2-8-1
アドアーズ インターヴィレッジ大曲店,https://www.adores.jp/tenpo/oomagari.html,北海道北広島市大曲幸町6-1 インターヴィレッジ大曲
アドアーズ 札幌北42条店,https://www.adores.jp/tenpo/kita42.html,北海道札幌市東区北42条東7-1-1 ドン・キホーテ札幌北42条店 2F
キャッツアイ ミュンヘン大橋店,https://www.hku.co.jp/catseye/,北海道札幌市豊平区平岸1条22-2-15
キャッツアイ 栄通店,https://www.hku.co.jp/catseye/,北海道札幌市白石区栄通19-11-43
キャッツアイ 宮の沢店,https://www.hku.co.jp/catseye/,北海道札幌市手稲区西宮の沢5条2-11-15
キャッツアイ 恵庭店,https://www.hku.co.jp/catseye/,北海道恵庭市住吉町2-15-15
キャッツアイ 篠路店,https://www.hku.co.jp/catseye/,北海道札幌市北区篠路1条4-6-30
キャッツアイ 新札幌店,https://www.hku.co.jp/catseye/,北海道札幌市厚別区厚別東5条1-1-10
キャッツアイ 新川店,https://www.hku.co.jp/catseye/,北海道札幌市北区新川2条7-1-7
キャッツアイ 清田店,https://www.hku.co.jp/catseye/,北海道札幌市清田区清田1条1-1-1
キャッツアイ 東苗穂店,https://www.hku.co.jp/catseye/,北海道札幌市東区東苗穂3条2-5-25
ソユーゲームフィールド 旭川駅前店,https://soyu-am.jp/,北海道旭川市宮下通7-2-5 イオンモール旭川駅前 4F
ソユーゲームフィールド 札幌発寒店,https://soyu-am.jp/,北海道札幌市西区発寒8条12-1 イオンモール札幌発寒 3F
ソユーゲームフィールド 札幌苗穂店,https://soyu-am.jp/,北海道札幌市東区東苗穂2条3-1-1 イオンモール札幌苗穂 2F
ディノスパーク 旭川店,https://www.sugai-dinos.jp/park/asahikawa/,北海道旭川市大雪通5-496-5
ディノスパーク 札幌手稲店,https://www.sugai-dinos.jp/,北海道札幌市手稲区前田1条11-1-1 西友手稲店 3F
ディノスパーク 札幌狸小路店,https://www.sugai-dinos.jp/,北海道札幌市中央区南3条西4丁目 狸小路4丁目アルシュビル
ディノスパーク 札幌中央店,https://www.sugai-dinos.jp/,北海道札幌市中央区南3条西1丁目8
ディノスパーク 苫小牧店,https://www.sugai-dinos.jp/park/tomakomai/,北海道苫小牧市柳町3-1-20 イオンモール苫小牧 2F
テキサス函館 MEGAGETコーナー,http://texas-hakodate.jp/,北海道函館市梁川町9-3 テキサス函館
ピーターパンと仲間たち 函館店,https://amuseum.jp/store/pn_hakodate/,北海道函館市港町1-2-1 ポールスターショッピングセンター
万代 BiVi新さっぽろ,https://mandai-s.jp/,北海道札幌市厚別区厚別中央1条6-3-3 BiVi新さっぽろ
万代 旭川アスパ永山店,https://mandai-s.jp/,北海道旭川市永山8条4-5-7 アスパ永山
万代 釧路店,https://mandai-s.jp/,北海道釧路市星が浦大通2-6-1
万代 札幌手稲店,https://mandai-t.com/,北海道札幌市手稲区稲穂2条2-2-8
万代 札幌藤野店,https://mandai-s.jp/,北海道札幌市南区藤野2条4-1-2
万代 十勝音更店,https://mandai-s.jp/,北海道河東郡音更町木野大通西12-1
万代 苫小牧店,https://mandai-s.jp/,北海道苫小牧市柳町2-3-12
万代 北見店,https://mandai-s.jp/,北海道北見市西富町1-1-7
万代アミューズ 旭川店,https://mandai-s.jp/,北海道旭川市永山8条4-5-7 アスパ永山内
Hapipi Land ピタゴラス和歌山,https://www.hapipiland.com/,和歌山県和歌山市湊御殿3-2-1
アソビクルハンターズ 和歌山中之島店,-,和歌山県和歌山市中之島2287
アソビクルハンターズ 和歌山中之島店,-,和歌山県和歌山市中之島2287
ユーズランド 和歌山店,-,和歌山県和歌山市中字楠谷573 イオンモール和歌山 2F
